,nCounts,nFeatures
BC0869_N01,15521,6073
BC0870_N03,38896,8263
BC0871_N01,17158,6876
BC0872_N02,31474,8434
BC0873_N02,26513,6835
BC0876_N01,16878,6800
BC0877_N02,27082,7729
BC0878_N01,15402,6371
BC0879_N01,17605,7041
BC0880_N01,17308,6726
BC0881_N01,18400,7061
BC0884_N02,32475,8674
BC0886_N01,18084,7090
BC0887_N01,17497,6986
BC0888_N01,18128,6975
BC0889_N01,16828,6759
BC0890_N01,16647,6871
BC0891_N02,30486,8161
BC0892_N02,23875,7514
BC0894_N02,28554,7288
BC0895_N02,23675,6915
BC0896_N08,99800,11394
BC0897_N02,27663,7764
BC0899_N01,15019,6085
BC0901_N01,16939,6684
BC0902_N01,14965,6056
BC0904_N03,44173,9211
BC0905_N01,18125,7191
BC0907_N01,16035,6275
BC0909_N03,34463,8513
BC0910_N01,17957,6988
BC0912_N04,59266,9858
BC0913_N02,24972,6918
BC0914_N02,32845,7944
BC0915_N02,30712,7941
BC0917_N01,16029,6460
BC0920_N04,62158,10254
BC0921_N01,17705,7206
BC0922_N02,26852,7025
BC0923_N02,30417,7815
BC0924_N01,17490,7085
BC0925_N03,47111,9234
BC0926_N01,15321,4870
BC0927_N02,25768,7241
BC0929_N01,17584,6954
BC0930_N02,34719,8716
BC0931_N01,16882,6633
BC0932_N04,54618,9449
BC0934_N03,42242,8968
BC0935_N04,61316,9634
BC0937_N02,28776,7628
BC0938_N02,29591,7529
BC0939_N03,37279,8784
BC0940_N01,17545,6774
BC0941_N01,15528,6178
BC0942_N02,29528,7440
BC0943_N01,17296,6656
BC0944_N01,14748,6184
BC0945_N03,46400,8875
BC0946_N01,15106,6041
BC0947_N01,16508,6676
BC0949_N02,34363,8433
BC0950_N01,17551,7056
BC0952_N01,15049,6230
BC0953_N01,18670,7024
BC0955_N01,14656,5957
BC0956_N03,40435,8473
BC0957_N04,56067,9588
BC0958_N01,15996,6379
BC0959_N02,28306,7453
BC0960_N01,14349,5862
BC0962_N01,16155,6632
BC0963_N04,44571,8378
BC0964_N03,39875,8122
BC0966_N01,1382,563
BC0967_N02,30192,7962
BC0968_N01,14952,6290
BC0969_N02,28872,7844
BC0970_N02,27689,7248
BC0971_N01,17084,6695
BC0972_N04,52025,8572
BC0973_N01,14769,6134
BC0975_N02,30119,7735
BC0976_N03,39937,8045
BC0977_N03,38020,8198
BC0978_N02,32645,8407
BC0979_N03,37997,8563
BC0980_N01,15030,6240
BC0981_N01,16837,6616
BC0982_N01,16530,6507
BC0983_N03,41933,8543
BC0984_N02,29850,7696
BC0985_N02,32977,8832
BC0987_N02,27887,7262
BC0988_N02,32303,8268
BC0989_N01,17071,6768
BC0990_N01,16042,6368
BC0991_N01,17670,6763
BC0992_N01,16520,6679
BC0993_N01,17480,6986
BC0996_N01,16154,6536
BC0997_N01,15857,6453
BC0999_N01,16068,6499
BC1000_N01,15085,6140
BC1001_N01,18214,6873
BC1002_N01,16972,6641
BC1003_N03,40884,8295
BC1006_N03,35985,7459
BC1007_N03,25039,7574
BC1008_N01,17354,5761
BC1009_N01,16051,6501
BC1010_N01,16419,6514
BC1012_N01,15981,6349
BC1014_N01,17181,6993
BC1017_N02,24412,6994
BC1019_N02,27833,7457
BC1022_N03,34094,7831
BC1023_N02,25618,7277
BC1024_N02,30647,7699
BC1025_N04,484,261
BC1026_N03,38406,8610
BC1027_N02,29124,7877
BC1028_N02,28911,7562
BC1029_N01,15162,5988
BC1031_N03,29926,6892
BC1033_N02,16738,6133
BC1034_N02,29901,7490
BC1036_N01,16015,6424
BC1038_N01,14812,6051
BC1042_N01,15495,6099
BC1044_N02,29104,7681
BC1045_N04,37471,8144
BC1046_N01,16264,6416
BC1047_N02,26193,7298
BC1048_N02,28096,7862
BC1049_N04,50085,8342
BC1050_N02,29053,7367
BC1051_N01,16270,6424
BC1052_N01,17262,6612
BC1054_N02,28670,8075
BC1055_N02,29169,7740
BC1056_N01,17316,6966
BC1057_N02,30083,7516
BC1058_N01,16323,6712
BC1059_N05,45818,7826
BC1060_N01,16733,6700
BC1061_N01,16386,6516
BC1062_N02,27696,7146
BC1063_N01,16060,6521
BC1064_N01,14962,5954
BC1066_N02,24513,6671
BC1067_N02,26173,7394
BC1068_N01,11960,4973
BC1071_N02,28535,7496
BC1072_N01,16082,6557
BC1073_N01,16714,6605
BC1074_N01,15774,6461
BC1075_N01,14689,6058
BC1076_N01,14477,5826
BC1080_N03,41271,8155
BC1081_N01,14820,5808
BC1082_N01,16418,6664
BC1083_N01,15860,6397
BC1085_N02,28109,7493
BC1086_N01,13536,5659
BC1087_N01,16118,6234
BC1088_N02,30266,8244
BC1089_N01,16439,6222
BC1090_N04,49025,8129
BC1092_N01,14674,6004
BC1093_N02,24924,7302
BC1096_N02,24017,7057
BC1097_N01,15934,6443
BC1102_N02,25293,6586
BC1105_N02,24098,6782
BC1107_N02,25960,6973
BC1108_N01,15580,6222
BC1110_N02,26745,7295
BC1111_N01,16485,6642
BC1113_N07,42629,9517
BC1115_N01,16715,6540
BC1116_N01,14241,5951
BC1120_N03,36045,7615
BC1121_N01,18076,5797
BC1122_N02,22241,6564
BC1123_N01,15416,6458
BC1125_N02,29212,7515
BC1126_N04,39533,8279
BC1128_N03,41982,8619
BC1129_N02,29293,7295
BC1134_N03,40320,8259
BC1136_N01,15185,6226
BC1138_N03,36423,7570
BC1140_N02,22963,6576
BC1141_N03,39377,8034
BC1142_N01,15724,6282
BC1144_N02,23035,6560
BC1145_N01,14266,5821
BC1146_N01,15156,5778
BC1147_N01,15700,6508
BC1148_N02,30287,7895
BC1149_N05,2209,656
BC1150_N01,15125,6156
BC1152_N01,12811,5350
BC1154_N01,15813,6484
BC1156_N02,24304,7172
BC1160_N01,15936,6422
BC1161_N01,16473,6386
BC1163_N01,13690,4888
BC1164_N02,24006,6675
BC1165_N02,23633,7061
BC1166_N01,13705,5642
BC1169_N02,23697,6398
BC1171_N03,26322,5820
BC1175_N01,13862,5654
BC1177_N02,27908,7744
BC1178_N04,44649,8832
BC1179_N01,13899,5740
BC1180_N01,14899,6050
BC1186_N01,16243,6325
BC1187_N01,13437,5509
BC1188_N01,14961,6319
BC1189_N01,14406,5922
BC1190_N02,28148,7381
BC1192_N01,15514,6233
BC1193_N01,16049,6368
BC1195_N01,13394,5418
BC1197_N04,33828,6556
BC1198_N02,27079,7205
BC1199_N02,24876,7309
BC1201_N03,40779,8533
BC1202_N02,23905,6869
BC1204_N01,14706,6079
BC1205_N01,14693,6150
BC1207_N01,13770,5911
BC1208_N01,14903,6199
BC1209_N03,25466,7071
BC1210_N02,28390,7513
BC1211_N03,40443,7778
BC1212_N03,34312,7283
BC1213_N02,28415,7647
BC1214_N01,14830,5867
BC1215_N01,15034,5963
BC1216_N02,24966,7076
BC1217_N02,26950,7303
BC1219_N03,32377,7717
BC1222_N02,26804,7387
BC1223_N02,22128,6400
BC1224_N04,44962,7964
BC1225_N02,22965,6699
BC1227_N02,23295,6506
BC1228_N01,13627,5694
BC1229_N01,15598,6133
BC1233_N01,11838,5042
BC1237_N04,42339,7222
BC1238_N02,30307,7558
BC1239_N01,13738,5827
BC1240_N01,15801,6204
BC1241_N01,14066,5865
BC1242_N01,14597,5988
BC1243_N03,28662,7480
BC1244_N02,22020,6828
BC1247_N03,32708,7186
BC1251_N01,14356,5984
BC1254_N02,27262,7549
BC1256_N02,22152,6197
BC1257_N01,14290,5899
BC1262_N01,13727,5700
BC1263_N01,15224,6101
BC1264_N01,14724,6004
BC1265_N03,38678,8058
BC1266_N01,14600,5987
BC1268_N02,25948,6987
BC1269_N02,27836,6952
BC1270_N01,13117,5430
BC1271_N02,26097,6947
BC1272_N03,37038,8102
BC1273_N01,13531,5582
BC1274_N01,13563,5655
BC1275_N02,29693,7657
BC1278_N03,29983,6345
BC1279_N03,38581,7987
BC1280_N02,21092,6178
BC1281_N02,25038,7036
BC1282_N01,13667,5779
BC1283_N02,20057,6750
BC1284_N04,50442,8635
BC1287_N02,29102,7614
BC1288_N03,37082,8211
BC1289_N01,13166,5386
BC1293_N01,13161,5695
BC1294_N01,13894,5744
