,nCounts,nFeatures
BC02405_N08,4505,2028
BC00051_N02,5294,2366
BC02252_N06,4677,2015
BC02750_N08,4732,2160
BC00961_N02,676,514
BC01605_N04,7678,2852
BC01068_N03,4638,1988
BC02894_N01,476,327
BC00951_N02,3193,1737
BC00998_N02,14217,3589
BC00947_N06,3869,1733
BC01659_N03,6033,2277
BC01478_N04,3196,1618
BC00547_N05,7305,2682
BC00582_N02,4850,2120
BC02902_N03,4436,2065
BC00945_N03,2880,1418
BC00126_N02,2593,1304
BC00943_N01,1067,705
BC00942_N03,6906,2438
BC00941_N02,4943,2126
BC00940_N02,2793,1452
BC01215_N02,1338,865
BC02570_N04,4854,2104
BC00807_N05,3882,1909
BC01270_N02,3680,1776
BC02435_N03,1642,1030
BC00939_N05,6582,2549
BC00228_N03,3479,1644
BC00537_N04,5559,2169
BC00551_N02,3028,1499
BC00936_N04,4300,2034
BC01521_N02,1679,978
BC00258_N03,4425,1954
BC02366_N04,5812,2134
BC01410_N03,3094,1581
BC02932_N05,3201,1622
BC00926_N02,7003,2854
BC00923_N04,2372,1374
BC01572_N05,6566,2721
BC02172_N03,3680,1875
BC00922_N04,6677,2486
BC00919_N03,3222,1664
BC00918_N04,2489,1357
BC00917_N01,2367,1277
BC03801_N01,1522,817
BC00913_N05,7154,2831
BC00118_N04,8106,2930
BC02130_N03,3458,1642
BC00675_N02,5725,2449
BC01148_N05,3859,1980
BC00644_N02,4729,2251
BC00910_N03,2653,1360
BC01032_N03,2688,1453
BC00477_N08,6663,2874
BC01487_N03,3651,1583
BC00577_N03,6991,2692
BC00909_N06,7022,2612
BC01302_N02,1194,767
BC01868_N04,3833,1874
BC00702_N01,637,451
BC00907_N02,2206,1289
BC00831_N05,5431,2237
BC00932_N03,4652,2191
BC00906_N01,833,531
BC00305_N04,11744,3607
BC00904_N01,691,487
BC00903_N04,22338,3741
BC00097_N08,6153,2657
BC00902_N03,1068,625
BC00509_N04,7162,2672
BC00663_N02,8036,2983
BC00900_N02,1332,829
BC00899_N02,4528,2047
BC01866_N03,1446,935
BC01206_N02,2588,1391
BC02392_N01,2773,1533
BC01357_N04,5079,2152
BC01925_N02,2293,1213
BC00957_N05,7029,2861
BC00893_N01,2234,1270
BC00789_N06,3293,1588
BC01187_N02,3017,1600
BC00065_N01,3537,1666
BC01466_N03,8108,2515
BC00890_N01,5049,1998
BC01828_N04,3705,1727
BC01235_N03,5354,2338
BC00692_N01,579,428
BC02369_N01,522,334
BC00885_N01,2439,1351
BC00882_N04,1584,973
BC01719_N02,2070,1214
BC00954_N02,1100,695
BC00677_N04,6096,2443
BC00881_N05,4067,1946
BC00392_N02,3175,1569
BC00880_N04,8017,2906
BC01748_N01,129,102
BC00870_N01,294,242
BC00569_N02,2559,1371
BC00863_N01,2708,1324
BC01908_N03,2383,1325
BC02873_N02,2050,1123
BC02310_N01,2803,1536
BC02934_N02,3499,1668
BC00858_N01,3765,1687
BC00857_N01,5958,2514
BC00282_N02,4605,1954
BC01840_N02,1895,1251
BC01239_N02,1665,980
BC01851_N03,1020,722
BC02048_N04,3989,1791
BC01038_N01,3186,1642
BC02298_N05,1914,1130
BC00848_N03,3145,1561
BC00745_N03,3285,1494
BC00846_N03,5877,2474
BC00488_N04,3186,1658
BC00990_N01,915,655
BC00086_N02,7183,2654
BC00843_N05,10583,3399
BC01223_N03,3895,1855
BC00841_N02,6426,2475
BC00845_N02,2295,1314
BC00839_N03,3996,1921
BC01903_N02,4464,2028
BC00838_N05,11949,3616
BC00834_N02,4584,2020
BC00833_N04,5015,2141
BC02777_N04,5002,2200
BC00854_N03,5597,2307
BC03949_N01,144,118
BC00497_N02,3202,1583
BC00830_N02,6945,2716
BC00829_N05,3566,1698
BC00826_N01,5301,2453
BC00825_N01,1810,998
BC00824_N04,3297,1717
BC02042_N05,2205,1188
BC00121_N04,9213,3256
BC00685_N03,5550,2124
BC01932_N02,2160,1220
BC00823_N02,3171,1427
BC00064_N01,3459,1737
BC00908_N03,3311,1586
BC00189_N03,5530,2614
BC00821_N03,6427,2475
BC01152_N03,3651,1771
BC02528_N04,3063,1568
BC01964_N12,2105,1204
BC00818_N02,4292,1874
BC00816_N03,2051,1275
BC00815_N03,2026,1164
BC00628_N02,5923,2397
BC00813_N01,1322,814
BC00812_N05,4939,2136
BC00811_N02,776,502
BC01690_N03,2169,1244
BC00055_N01,1259,1036
BC02970_N07,2060,1170
BC00879_N01,2261,1314
BC00809_N02,3650,1868
BC00089_N04,18231,4230
BC00195_N04,8767,3271
BC00524_N03,4482,2024
BC02648_N05,2788,1503
BC01815_N02,2520,1300
BC00797_N06,7600,2822
BC00229_N01,6532,2485
BC00970_N04,5418,2356
BC01703_N01,1979,942
BC00795_N02,9955,3133
BC00292_N01,754,520
BC00289_N04,6563,2558
BC00792_N03,5834,2493
BC00363_N02,5859,2256
BC00791_N03,3857,1800
BC00688_N02,4286,2035
BC01149_N01,1761,1052
BC02960_N03,2836,1389
BC01577_N02,3928,1895
BC00708_N02,3516,1811
BC00788_N04,5619,2318
BC00369_N02,7252,2769
BC00802_N02,5311,2202
BC00378_N02,4817,2179
BC02187_N02,2389,1318
BC00787_N01,521,420
BC02073_N02,933,684
BC00025_N04,18095,4516
BC00786_N04,1538,906
BC00226_N01,8459,3111
BC02201_N02,1654,946
BC01416_N01,654,468
BC00783_N03,4449,1861
BC00781_N02,7329,2672
BC01668_N01,4098,2133
BC02279_N03,8153,3048
BC00709_N01,3717,1811
BC00673_N04,2320,1205
BC00776_N01,5037,2091
BC00225_N02,7909,3043
BC00391_N03,1714,991
BC01231_N03,3344,1761
BC01430_N01,3292,1641
BC00714_N02,4043,1933
BC02348_N02,2133,1182
BC00760_N02,2703,1405
BC00278_N02,4431,2073
BC00450_N02,1047,708
BC00604_N05,6083,2461
BC02789_N01,3554,1407
