,nCounts,nFeatures
BC02715_N02,2027,1279
BC01201_N02,3927,1958
BC01196_N02,4727,2332
BC01194_N02,5105,2579
BC02009_N03,3334,1727
BC01444_N01,2926,1710
BC00441_N01,5492,2707
BC00871_N02,1894,1275
BC01182_N02,1910,1276
BC01181_N01,2157,1268
BC02149_N01,1140,832
BC04005_N03,2388,1513
BC01020_N02,3534,1836
BC02086_N02,2145,1354
BC01606_N03,4650,2452
BC01619_N03,4178,2000
BC02494_N04,5401,2631
BC02212_N02,3588,1898
BC01170_N01,2007,1289
BC01491_N03,4847,2340
BC03369_N03,1520,1093
BC01745_N04,2435,1503
BC02225_N04,2827,1576
BC01562_N02,3602,2158
BC00115_N04,4148,2119
BC02456_N03,2583,1570
BC02976_N03,3099,1713
BC03450_N02,2689,1522
BC00409_N04,2935,1771
BC01490_N03,5321,2504
BC00629_N03,4220,2238
BC03050_N01,1841,1188
BC01567_N01,2857,1574
BC04063_N01,1093,814
BC01242_N05,2471,1433
BC02076_N01,3481,2086
BC01139_N02,1937,1330
BC01987_N05,5864,2689
BC01138_N03,4771,2390
BC02959_N02,1075,790
BC03868_N01,1446,1072
BC02228_N03,2717,1552
BC01127_N03,3368,1860
BC01126_N02,3345,1897
BC02461_N03,4226,2000
BC01124_N02,3440,1935
BC02646_N03,2419,1404
BC00723_N02,8121,3148
BC00887_N02,2572,1599
BC01121_N03,4414,2261
BC03271_N03,4122,1952
BC01118_N02,3233,1806
BC02885_N03,2622,1589
BC01472_N01,3514,1911
BC01001_N05,4684,2233
BC03610_N04,2651,1551
BC02395_N04,5565,2656
BC01114_N02,2124,1356
BC02119_N03,2567,1548
BC02785_N02,2593,1460
BC03281_N01,872,635
BC01107_N01,1056,802
BC02020_N01,2631,1766
BC03245_N02,1215,846
BC01102_N01,3467,1835
BC01499_N03,7635,3213
BC02699_N02,1687,1076
BC01087_N02,1856,1234
BC01300_N04,6119,2670
BC02780_N05,4313,2330
BC01667_N06,6488,2864
BC01210_N01,1115,736
BC03947_N01,761,586
BC02404_N05,2132,1389
BC01076_N01,3143,1629
BC02857_N05,3439,1794
BC02669_N03,4729,2384
BC03492_N01,774,627
BC02768_N04,3843,2167
BC02270_N01,2704,1602
BC03870_N02,1188,837
BC02521_N03,3294,1732
BC01063_N03,2441,1611
BC02864_N04,4006,1988
BC02910_N03,3112,1767
BC02747_N05,4558,2202
BC00317_N01,2599,1511
BC02513_N03,4967,2430
BC00980_N02,3820,2217
BC03960_N01,821,632
BC01997_N03,2054,1319
BC03025_N02,2895,1621
BC02711_N02,957,669
BC01051_N01,1599,1106
BC02797_N04,2341,1371
BC00852_N07,6783,3315
BC01334_N01,2029,1380
BC02866_N06,3399,1791
BC03331_N01,829,648
BC01687_N04,5474,2547
BC01042_N05,4871,2358
BC01691_N02,1656,1065
BC00354_N03,7997,3317
BC01142_N02,4799,2270
BC00549_N01,5317,2629
BC01241_N02,2438,1565
BC03291_N03,2786,1671
BC01019_N02,4646,2428
BC01452_N02,2350,1405
BC01933_N03,5952,2717
BC01017_N03,5947,2742
BC02365_N02,1195,857
BC02401_N04,2034,1320
BC01016_N01,1320,940
BC01931_N02,2814,1585
BC02675_N03,3197,1789
BC01524_N03,3926,2070
BC00801_N01,7582,3403
BC02478_N02,3599,2027
BC03884_N01,955,711
BC01014_N03,4438,2324
BC02200_N06,5877,2671
BC01013_N01,2820,1622
BC01002_N01,174,166
BC02713_N04,3790,1954
BC01176_N01,1756,1180
BC02166_N02,4461,2622
BC01282_N02,2447,1444
BC00996_N01,3722,2006
BC01340_N02,7568,3607
BC01158_N02,5802,2712
BC00994_N01,589,470
BC01481_N03,2373,1350
BC02956_N02,3278,1826
BC01081_N02,3005,1739
BC00983_N01,4279,2005
BC02134_N02,3338,1895
BC00981_N02,1834,1222
BC02881_N05,4408,2172
BC01023_N02,2910,1879
BC01480_N01,3212,1772
BC01758_N03,5327,2827
BC01211_N02,4054,2053
BC01602_N04,3488,1862
BC01966_N04,3291,1820
BC03469_N01,1289,996
BC01999_N02,4440,2383
BC02728_N02,3227,1964
BC00959_N01,3223,1797
BC03462_N02,635,505
BC01812_N02,3394,1862
BC00873_N05,6869,2870
BC00944_N01,700,560
BC02432_N02,3301,1913
BC02500_N05,1529,976
BC01117_N01,2341,1495
BC02316_N03,3676,2019
BC00938_N02,6505,3040
BC00006_N03,3551,2562
BC00933_N02,3851,1988
BC02884_N03,2411,1493
BC03638_N05,1675,1069
BC02190_N02,2484,1471
BC02670_N02,4090,2224
BC02525_N01,2440,1478
BC01789_N04,4728,2403
BC02508_N02,3546,1893
BC03560_N01,2029,1313
BC01600_N04,4182,2144
BC00011_N01,1399,1097
BC02299_N04,3087,1660
BC01477_N03,4160,2069
BC02088_N02,4063,2402
BC00299_N03,4172,2160
BC01875_N03,4535,2215
BC02397_N03,2081,1307
BC02855_N01,3073,1970
BC02326_N05,3197,1731
BC02188_N03,5106,2329
BC02913_N02,5450,2580
BC01034_N01,4185,2133
BC01878_N04,3892,2038
BC02668_N02,1447,910
BC02815_N03,4378,2124
BC01566_N01,2918,1764
