,nCounts,nFeatures
BC2307_N02,10081,3152
BC2308_N01,6904,2895
BC2311_N01,5163,2293
BC2314_N02,9270,2910
BC2315_N01,5256,2325
BC2316_N02,11718,3197
BC2318_N01,5543,2496
BC2319_N03,11886,3320
BC2320_N02,13591,3923
BC2321_N01,6002,2739
BC2322_N02,11558,3281
BC2323_N02,8315,3034
BC2324_N01,5860,2603
BC2326_N01,7224,3101
BC2327_N02,9679,3068
BC2329_N01,6208,2527
BC2330_N02,11776,3476
BC2332_N04,16521,3886
BC2333_N03,12618,3073
BC2336_N03,16520,4218
BC2337_N01,6498,2802
BC2338_N01,6527,2873
BC2339_N01,5955,2601
BC2340_N01,5946,2558
BC2341_N01,4508,2001
BC2342_N03,13389,3359
BC2343_N03,15990,3993
BC2344_N02,9821,3068
BC2346_N01,6096,2655
BC2347_N03,14156,3585
BC2349_N04,19972,3780
BC2351_N01,6562,2884
BC2353_N03,15727,3765
BC2356_N01,5299,2449
BC2358_N01,6228,2750
BC2359_N02,11510,3338
BC2360_N03,13237,3560
BC2363_N04,20346,4342
BC2365_N02,10403,2988
BC2366_N01,6180,2748
BC2371_N02,12948,3807
BC2372_N01,6514,2746
BC2373_N01,6315,2759
BC2375_N01,7754,3143
BC2377_N01,5038,2245
BC2381_N02,11143,3523
BC2383_N02,7087,2719
BC2384_N02,9634,3061
BC2385_N01,5826,2560
BC2386_N01,6124,2556
BC2387_N01,7046,3050
BC2388_N01,6970,2901
BC2389_N02,11614,3407
BC2390_N01,5643,2403
BC2391_N02,14040,4021
BC2392_N01,4463,2042
BC2394_N01,5714,2549
BC2397_N02,9325,2890
BC2400_N01,5753,2554
BC2401_N01,6367,2795
BC2402_N01,6270,2666
BC2403_N03,14841,3746
BC2404_N02,10619,3112
BC2405_N01,7344,2979
BC2406_N07,20792,3211
BC2407_N01,5726,2508
BC2408_N02,9150,2970
BC2409_N02,9269,2784
BC2410_N02,10104,2971
BC2411_N02,10786,3188
BC2414_N02,11250,3269
BC2415_N01,7055,2784
BC2417_N02,8074,2456
BC2419_N01,6359,2760
BC2421_N01,5930,2634
BC2422_N01,5941,2632
BC2424_N02,10159,3220
BC2425_N01,5214,2362
BC2426_N01,6207,2747
BC2427_N02,10498,3185
BC2429_N02,11843,3367
BC2430_N01,7632,3099
BC2432_N02,10265,3082
BC2433_N02,12102,3774
BC2435_N01,5123,2250
BC2436_N02,10640,3228
BC2440_N03,13408,3375
BC2442_N01,6747,2805
BC2444_N03,17586,3797
BC2445_N01,6132,2616
BC2447_N03,13675,3359
BC2448_N05,22913,4117
BC2449_N03,14930,3527
BC2451_N01,5353,2392
BC2453_N01,6025,2582
BC2455_N03,18867,4058
BC2456_N01,5399,2414
BC2457_N02,11894,3506
BC2458_N01,5047,2301
BC2459_N01,6728,2833
BC2460_N02,10339,3033
BC2461_N02,11198,3172
BC2462_N03,11156,2979
BC2463_N02,8677,2673
BC2464_N04,16219,3589
BC2466_N01,5266,2404
BC2467_N01,6235,2714
BC2468_N01,5392,2360
BC2469_N02,10780,2991
BC2470_N02,9452,2907
BC2472_N02,10448,3096
BC2473_N02,7564,2720
BC2474_N05,21533,4007
BC2475_N03,13295,3405
BC2476_N04,21456,3961
BC2477_N03,15680,3739
BC2478_N03,12878,3712
BC2481_N02,9655,2947
BC2482_N02,10958,3310
BC2483_N03,14519,3637
BC2484_N01,4998,2241
BC2486_N03,14924,3569
BC2487_N01,4972,2248
BC2489_N02,7686,2703
BC2495_N02,10577,2851
BC2496_N01,6235,2675
BC2497_N01,5638,2487
BC2498_N02,9420,2975
BC2499_N02,10274,3075
BC2500_N02,10219,3267
BC2501_N03,14515,3606
BC2503_N02,10100,3014
BC2504_N01,5573,2483
BC2505_N04,17018,3505
BC2509_N01,5210,2316
BC2510_N01,6987,2831
BC2511_N02,13146,3710
BC2512_N03,14290,3548
BC2513_N01,5232,2261
BC2515_N05,5633,1242
BC2516_N01,7573,3017
BC2518_N01,5964,2576
BC2519_N02,10894,3262
BC2520_N02,8378,2598
BC2521_N02,10513,3215
BC2523_N02,9721,3163
BC2524_N04,18014,4005
BC2525_N02,11099,3476
BC2526_N01,6037,2563
BC2527_N02,9269,2993
BC2528_N02,10289,3154
BC2529_N01,5534,2370
BC2530_N03,12324,3248
BC2531_N01,5627,2526
BC2532_N03,15878,3516
BC2533_N01,5930,2524
BC2535_N01,4497,2094
BC2536_N02,8764,2697
BC2537_N01,6074,2641
BC2539_N02,10214,3147
BC2541_N01,5172,2341
BC2544_N01,5270,2387
BC2545_N01,5143,2293
BC2546_N02,8436,2678
BC2549_N02,9719,3062
BC2550_N01,5644,2459
BC2551_N01,5894,2578
BC2552_N02,12357,3317
BC2553_N01,4705,2176
BC2555_N02,7982,2649
BC2556_N02,9587,2783
BC2557_N03,13308,3224
BC2558_N01,5199,2244
BC2559_N01,5232,2384
BC2560_N04,13937,3248
BC2562_N04,16749,3118
BC2563_N02,8906,2599
BC2565_N03,14495,3540
BC2566_N01,5871,2504
BC2568_N02,10231,3145
BC2569_N02,6740,2552
BC2570_N01,5438,2403
BC2573_N01,5901,2625
BC2575_N01,5235,2304
BC2576_N02,8836,2687
BC2582_N02,8758,2672
BC2583_N01,4748,2135
BC2584_N01,4990,2197
BC2585_N01,5495,2445
BC2586_N01,6052,2623
BC2587_N04,19693,3874
BC2588_N01,4366,1971
BC2589_N01,6019,2611
BC2590_N02,7754,2441
BC2591_N03,13418,3245
BC2593_N01,6009,2595
BC2594_N02,7999,2538
BC2595_N02,8116,2704
BC2596_N01,5376,2187
BC2597_N01,5394,2346
BC2598_N02,7773,2490
BC2600_N01,4358,1992
BC2602_N03,11055,3082
BC2603_N01,4568,2031
BC2607_N02,9863,3332
BC2608_N01,6160,2584
